Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Spencer,3.0,0.0,0.0,2.0,2.0,5980,4.0,0.5
Sperling,1.0,2.0,0.0,0.0,0.0,1984,2.0,0.0
Sperling Richard G,1.0,1.0,0.0,0.0,0.0,2016,1.0,0.0
Speyer,1.0,1.0,0.0,0.0,0.0,1991,1.0,0.0
Spezio,1.0,1.0,1.0,0.0,0.0,1982,2.0,0.0
Spezio Sport,1.0,0.0,0.0,1.0,0.0,1990,1.0,0.0
Spiker Rotorway,1.0,0.0,0.0,0.0,1.0,2003,1.0,1.0
Spink Robert M,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Spirangam,1.0,0.0,0.0,0.0,1.0,2004,1.0,1.0
Spitfire,0.0,0.0,0.0,0.0,1.0,2021,1.0,1.0
Spittler,1.0,0.0,0.0,0.0,2.0,2006,2.0,1.0
Sport Flight,2.0,0.0,0.0,2.0,1.0,4004,3.0,0.3333333333333333
Sport Flight International,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
Sport Plane Dynamics Llc,2.0,0.0,1.0,0.0,3.0,4022,4.0,0.75
Sportavia Putzer,1.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
Sportavia-Putzer,2.0,0.0,0.0,0.0,2.0,3974,2.0,1.0
Sportflight International Llc,1.0,2.0,0.0,0.0,0.0,2009,2.0,0.0
Sportsman,1.0,0.0,0.0,0.0,1.0,1996,1.0,1.0
Sprague,2.0,1.0,0.0,0.0,3.0,3982,4.0,0.75
Spreuer,1.0,0.0,0.0,0.0,2.0,1995,2.0,1.0
